distance,troughput,server_troughput,calculation_start_after_app,runtime,total_packet_count_received,signal_mean,noise,signal_varianz
1,74.988,74.9893,0,37,239186,-39,-90,0
2,74.988,74.9893,0,37,239186,-39,-90,0
3,74.988,74.9893,0,37,239186,-39,-90,0
4,74.988,74.9893,0,37,239186,-39,-90,0
5,74.988,74.9893,0,37,239186,-39,-90,0
6,74.988,74.9893,0,37,239186,-39,-90,0
7,74.988,74.9893,0,37,239186,-39,-90,0
8,74.988,74.9893,0,37,239186,-39,-90,0
9,74.988,74.9893,0,37,239186,-39,-90,0
10,74.988,74.9893,0,37,239186,-39,-90,0
11,74.988,74.9893,0,37,239186,-39,-90,0
12,74.988,74.9893,0,37,239186,-39,-90,0
13,74.988,74.9893,0,37,239186,-39,-90,0
14,74.988,74.9893,0,37,239186,-39,-90,0
15,74.988,74.9893,0,37,239186,-39,-90,0
16,74.988,74.9893,0,37,239186,-39,-90,0
17,74.988,74.9893,0,37,239186,-39,-90,0
18,74.988,74.9893,0,37,239186,-39,-90,0
19,74.988,74.9893,0,37,239186,-39,-90,0
20,74.988,74.9893,0,37,239186,-39,-90,0
21,74.988,74.9893,0,37,239186,-39,-90,0
22,74.988,74.9893,0,37,239186,-39,-90,0
23,74.988,74.9893,0,37,239186,-39,-90,0
24,74.988,74.9893,0,37,239186,-39,-90,0
25,74.988,74.9893,0,37,239186,-39,-90,0
26,74.988,74.9893,0,37,239186,-39,-90,0
27,74.988,74.9893,0,37,239186,-39,-90,0
28,74.988,74.9893,0,37,239186,-39,-90,0
29,74.988,74.9893,0,37,239186,-39,-90,0
30,74.988,74.9893,0,37,239186,-39,-90,0
31,74.988,74.9893,0,37,239186,-39,-90,0
32,74.988,74.9893,0,37,239186,-39,-90,0
33,74.988,74.9893,0,37,239186,-39,-90,0
34,74.988,74.9893,0,37,239186,-39,-90,0
35,74.988,74.9893,0,37,239186,-39,-90,0
36,74.988,74.9893,0,37,239186,-39,-90,0
37,74.988,74.9893,0,37,239186,-39,-90,0
38,74.988,74.9893,0,37,239186,-39,-90,0
39,74.988,74.9893,0,37,239186,-39,-90,0
40,74.988,74.9893,0,37,239186,-39,-90,0
41,74.988,74.9893,0,37,239186,-39,-90,0
42,74.988,74.9893,0,37,239186,-39,-90,0
43,74.988,74.9893,0,37,239186,-39,-90,0
44,74.988,74.9893,0,37,239186,-39,-90,0
45,74.988,74.9893,0,37,239186,-39,-90,0
46,74.988,74.9893,0,37,239186,-39,-90,0
47,74.988,74.9893,0,37,239186,-39,-90,0
48,74.988,74.9893,0,37,239186,-39,-90,0
49,74.988,74.9893,0,37,239186,-39,-90,0
50,74.988,74.9893,0,37,239186,-39,-90,0
51,74.988,74.9893,0,37,239186,-39,-90,0
52,74.988,74.9893,0,37,239186,-39,-90,0
53,74.988,74.9893,0,37,239186,-39,-90,0
54,74.988,74.9893,0,37,239186,-39,-90,0
55,74.988,74.9893,0,37,239186,-39,-90,0
56,74.988,74.9893,0,37,239186,-39,-90,0
57,74.988,74.9893,0,37,239186,-39,-90,0
58,74.988,74.9893,0,37,239186,-39,-90,0
59,74.988,74.9893,0,37,239186,-39,-90,0
60,74.988,74.9893,0,37,239186,-39,-90,0
61,74.988,74.9893,0,37,239186,-39,-90,0
62,74.988,74.9893,0,37,239186,-39,-90,0
63,74.988,74.9893,0,37,239186,-39,-90,0
64,74.988,74.9893,0,37,239186,-39,-90,0
65,74.988,74.9893,0,37,239186,-39,-90,0
66,74.988,74.9893,0,37,239186,-39,-90,0
67,74.988,74.9893,0,37,239186,-39,-90,0
68,74.988,74.9893,0,37,239186,-39,-90,0
69,74.988,74.9893,0,37,239186,-39,-90,0
70,74.988,74.9893,0,37,239186,-39,-90,0
71,74.988,74.9893,0,37,239186,-39,-90,0
72,74.988,74.9893,0,37,239186,-39,-90,0
73,74.988,74.9893,0,37,239186,-39,-90,0
74,74.988,74.9893,0,37,239186,-39,-90,0
75,74.988,74.9893,0,37,239186,-39,-90,0
76,74.988,74.9893,0,37,239186,-39,-90,0
77,74.988,74.9893,0,37,239186,-39,-90,0
78,74.988,74.9893,0,37,239186,-39,-90,0
79,74.988,74.9893,0,37,239186,-39,-90,0
80,74.988,74.9893,0,37,239186,-39,-90,0
81,74.988,74.9893,0,37,239186,-39,-90,0
82,74.988,74.9893,0,37,239186,-39,-90,0
83,74.988,74.9893,0,37,239186,-39,-90,0
84,74.988,74.9893,0,37,239186,-39,-90,0
85,74.988,74.9893,0,37,239186,-39,-90,0
86,74.988,74.9893,0,37,239186,-39,-90,0
87,74.988,74.9893,0,37,239186,-39,-90,0
88,74.988,74.9893,0,37,239186,-39,-90,0
89,74.988,74.9893,0,37,239186,-39,-90,0
90,74.988,74.9893,0,37,239186,-39,-90,0
91,74.988,74.9893,0,37,239186,-39,-90,0
92,74.988,74.9893,0,37,239186,-39,-90,0
93,74.988,74.9893,0,37,239186,-39,-90,0
94,74.988,74.9893,0,37,239186,-39,-90,0
95,74.988,74.9893,0,37,239186,-39,-90,0
96,74.988,74.9893,0,37,239186,-39,-90,0
97,74.988,74.9893,0,37,239186,-39,-90,0
98,74.988,74.9893,0,37,239186,-39,-90,0
99,74.988,74.9893,0,37,239186,-39,-90,0
100,74.988,74.9893,0,37,239186,-39,-90,0
101,74.988,74.9893,0,37,239186,-39,-90,0
102,74.988,74.9893,0,37,239186,-39,-90,0
103,74.988,74.9893,0,37,239186,-39,-90,0
104,74.988,74.9893,0,37,239186,-39,-90,0
105,74.988,74.9893,0,37,239186,-39,-90,0
106,74.988,74.9893,0,37,239186,-39,-90,0
107,74.988,74.9893,0,37,239186,-39,-90,0
108,74.988,74.9893,0,37,239186,-39,-90,0
109,74.988,74.9893,0,37,239186,-39,-90,0
110,74.988,74.9893,0,37,239186,-39,-90,0
111,74.988,74.9893,0,37,239186,-39,-90,0
112,74.988,74.9893,0,37,239186,-39,-90,0
113,74.988,74.9893,0,37,239186,-39,-90,0
114,74.988,74.9893,0,37,239186,-39,-90,0
115,74.988,74.9893,0,37,239186,-39,-90,0
116,74.988,74.9893,0,37,239186,-39,-90,0
117,74.988,74.9893,0,37,239186,-39,-90,0
118,74.988,74.9893,0,37,239186,-39,-90,0
119,74.988,74.9893,0,37,239186,-39,-90,0
120,74.988,74.9893,0,37,239186,-39,-90,0
121,74.988,74.9893,0,37,239186,-39,-90,0
122,74.988,74.9893,0,37,239186,-39,-90,0
123,74.988,74.9893,0,37,239186,-39,-90,0
124,74.988,74.9893,0,37,239186,-39,-90,0
125,74.988,74.9893,0,37,239186,-39,-90,0
126,74.988,74.9893,0,37,239186,-39,-90,0
127,74.988,74.9893,0,37,239186,-39,-90,0
128,74.988,74.9893,0,37,239186,-39,-90,0
129,74.988,74.9893,0,37,239186,-39,-90,0
130,74.988,74.9893,0,37,239186,-39,-90,0
131,74.988,74.9893,0,37,239186,-39,-90,0
132,74.988,74.9893,0,37,239186,-39,-90,0
133,74.988,74.9893,0,37,239186,-39,-90,0
134,74.988,74.9893,0,37,239186,-39,-90,0
135,74.988,74.9893,0,37,239186,-39,-90,0
136,74.988,74.9893,0,37,239186,-39,-90,0
137,74.988,74.9893,0,37,239186,-39,-90,0
138,74.988,74.9893,0,37,239186,-39,-90,0
139,74.988,74.9893,0,37,239186,-39,-90,0
140,74.988,74.9893,0,37,239186,-39,-90,0
141,74.988,74.9893,0,37,239186,-39,-90,0
142,74.988,74.9893,0,37,239186,-39,-90,0
143,74.988,74.9893,0,37,239186,-39,-90,0
144,74.988,74.9893,0,37,239186,-39,-90,0
145,74.988,74.9893,0,37,239186,-39,-90,0
146,74.988,74.9893,0,37,239186,-39,-90,0
147,74.988,74.9893,0,37,239186,-39,-90,0
148,74.988,74.9893,0,37,239186,-39,-90,0
149,74.988,74.9893,0,37,239186,-39,-90,0
150,74.988,74.9893,0,37,239186,-39,-90,0
151,74.988,74.9893,0,37,239186,-39,-90,0
152,74.988,74.9893,0,37,239186,-39,-90,0
153,74.988,74.9893,0,37,239186,-39,-90,0
154,74.988,74.9893,0,37,239186,-39,-90,0
155,74.988,74.9893,0,37,239186,-39,-90,0
156,74.988,74.9893,0,37,239186,-39,-90,0
157,74.988,74.9893,0,37,239186,-39,-90,0
158,74.988,74.9893,0,37,239186,-39,-90,0
159,74.988,74.9893,0,37,239186,-39,-90,0
160,74.988,74.9893,0,37,239186,-39,-90,0
161,74.988,74.9893,0,37,239186,-39,-90,0
162,74.988,74.9893,0,37,239186,-39,-90,0
163,74.988,74.9893,0,37,239186,-39,-90,0
164,74.988,74.9893,0,37,239186,-39,-90,0
165,74.988,74.9893,0,37,239186,-39,-90,0
166,74.988,74.9893,0,37,239186,-39,-90,0
167,74.988,74.9893,0,37,239186,-39,-90,0
168,74.988,74.9893,0,37,239186,-39,-90,0
169,74.988,74.9893,0,37,239186,-39,-90,0
170,74.988,74.9893,0,37,239186,-39,-90,0
171,74.988,74.9893,0,37,239186,-39,-90,0
172,74.988,74.9893,0,37,239186,-39,-90,0
173,74.988,74.9893,0,37,239186,-39,-90,0
174,74.988,74.9893,0,37,239186,-39,-90,0
175,74.988,74.9893,0,37,239186,-39,-90,0
176,74.988,74.9893,0,37,239186,-39,-90,0
177,74.988,74.9893,0,37,239186,-39,-90,0
178,74.988,74.9893,0,37,239186,-39,-90,0
179,74.988,74.9893,0,37,239186,-39,-90,0
180,74.988,74.9893,0,37,239186,-39,-90,0
181,74.988,74.9893,0,37,239186,-39,-90,0
182,74.988,74.9893,0,37,239186,-39,-90,0
183,74.988,74.9893,0,37,239186,-39,-90,0
184,74.988,74.9893,0,37,239186,-39,-90,0
185,74.988,74.9893,0,37,239186,-39,-90,0
186,74.988,74.9893,0,37,239186,-39,-90,0
187,74.988,74.9893,0,37,239186,-39,-90,0
188,74.988,74.9893,0,37,239186,-39,-90,0
189,74.988,74.9893,0,37,239186,-39,-90,0
190,74.988,74.9893,0,37,239186,-39,-90,0
191,74.988,74.9893,0,37,239186,-39,-90,0
192,74.988,74.9893,0,37,239186,-39,-90,0
193,74.988,74.9893,0,37,239186,-39,-90,0
194,74.988,74.9893,0,37,239186,-39,-90,0
195,74.988,74.9893,0,37,239186,-39,-90,0
196,74.988,74.9893,0,37,239186,-39,-90,0
197,74.988,74.9893,0,37,239186,-39,-90,0
198,74.988,74.9893,0,37,239186,-39,-90,0
199,74.988,74.9893,0,37,239186,-39,-90,0
200,74.988,74.9893,0,37,239186,-39,-90,0
201,74.988,74.9893,0,37,239186,-39,-90,0
202,74.988,74.9893,0,37,239186,-39,-90,0
203,74.988,74.9893,0,37,239186,-39,-90,0
204,74.988,74.9893,0,37,239186,-39,-90,0
205,74.988,74.9893,0,37,239186,-39,-90,0
206,74.988,74.9893,0,37,239186,-39,-90,0
207,74.988,74.9893,0,37,239186,-39,-90,0
208,74.988,74.9893,0,37,239186,-39,-90,0
209,74.988,74.9893,0,37,239186,-39,-90,0
210,74.988,74.9893,0,37,239186,-39,-90,0
211,74.988,74.9893,0,37,239186,-39,-90,0
212,74.988,74.9893,0,37,239186,-39,-90,0
213,74.988,74.9893,0,37,239186,-39,-90,0
214,74.988,74.9893,0,37,239186,-39,-90,0
215,74.988,74.9893,0,37,239186,-39,-90,0
216,74.988,74.9893,0,37,239186,-39,-90,0
217,74.988,74.9893,0,37,239186,-39,-90,0
218,74.988,74.9893,0,37,239186,-39,-90,0
219,74.988,74.9893,0,37,239186,-39,-90,0
220,74.988,74.9893,0,37,239186,-39,-90,0
221,74.988,74.9893,0,37,239186,-39,-90,0
222,74.988,74.9893,0,37,239186,-39,-90,0
223,74.988,74.9893,0,37,239186,-39,-90,0
224,74.988,74.9893,0,37,239186,-39,-90,0
225,74.988,74.9893,0,37,239186,-39,-90,0
226,74.988,74.9893,0,37,239186,-39,-90,0
227,74.988,74.9893,0,37,239186,-39,-90,0
228,74.988,74.9893,0,37,239186,-39,-90,0
229,74.988,74.9893,0,37,239186,-39,-90,0
230,74.988,74.9893,0,37,239186,-39,-90,0
231,74.988,74.9893,0,37,239186,-39,-90,0
232,74.988,74.9893,0,37,239186,-39,-90,0
233,74.988,74.9893,0,37,239186,-39,-90,0
234,74.988,74.9893,0,37,239186,-39,-90,0
235,74.988,74.9893,0,37,239186,-39,-90,0
236,74.988,74.9893,0,37,239186,-39,-90,0
237,74.988,74.9893,0,37,239186,-39,-90,0
238,74.988,74.9893,0,37,239186,-39,-90,0
239,74.988,74.9893,0,37,239186,-39,-90,0
240,74.988,74.9893,0,37,239186,-39,-90,0
241,74.988,74.9893,0,37,239186,-39,-90,0
242,74.988,74.9893,0,37,239186,-39,-90,0
243,74.988,74.9893,0,37,239186,-39,-90,0
244,74.988,74.9893,0,37,239186,-39,-90,0
245,74.988,74.9893,0,37,239186,-39,-90,0
246,74.988,74.9893,0,37,239186,-39,-90,0
247,74.988,74.9893,0,37,239186,-39,-90,0
248,74.988,74.9893,0,37,239186,-39,-90,0
249,74.988,74.9893,0,37,239186,-39,-90,0
250,74.988,74.9893,0,37,239186,-39,-90,0
251,74.988,74.9893,0,37,239186,-39,-90,0
252,74.988,74.9893,0,37,239186,-39,-90,0
253,74.988,74.9893,0,37,239186,-39,-90,0
254,74.988,74.9893,0,37,239186,-39,-90,0
255,74.988,74.9893,0,37,239186,-39,-90,0
256,74.988,74.9893,0,37,239186,-39,-90,0
257,74.988,74.9893,0,37,239186,-39,-90,0
258,74.988,74.9893,0,37,239186,-39,-90,0
259,74.988,74.9893,0,37,239186,-39,-90,0
260,74.988,74.9893,0,37,239186,-39,-90,0
261,74.988,74.9893,0,37,239186,-39,-90,0
262,74.988,74.9893,0,37,239186,-39,-90,0
263,74.988,74.9893,0,37,239186,-39,-90,0
264,74.988,74.9893,0,37,239186,-39,-90,0
265,74.988,74.9893,0,37,239186,-39,-90,0
266,74.988,74.9893,0,37,239186,-39,-90,0
267,74.988,74.9893,0,37,239186,-39,-90,0
268,74.988,74.9893,0,37,239186,-39,-90,0
269,74.988,74.9893,0,37,239186,-39,-90,0
270,74.988,74.9893,0,37,239186,-39,-90,0
271,74.988,74.9893,0,37,239186,-39,-90,0
